Variables: 56, expected states 16777216
Computed state count: 547187354725515260
Start backward reachability: (states=1, size=63)
 >> (progress=93.39%%, states=2239411785826304, size=834)
 >> (progress=93.39%%, states=2240281516703744, size=780)
 >> (progress=93.39%%, states=2240668063760384, size=810)
 >> (progress=93.39%%, states=2240861337288704, size=813)
 >> (progress=93.39%%, states=2240957974052864, size=804)
 >> (progress=93.39%%, states=2241247884345344, size=796)
 >> (progress=93.39%%, states=2241827704930304, size=768)
 >> (progress=93.46%%, states=2383671147364352, size=812)
 >> (progress=93.46%%, states=2383738793099264, size=841)
 >> (progress=93.46%%, states=2384077021773824, size=758)
 >> (progress=93.46%%, states=2390261774680064, size=699)
 >> (progress=93.46%%, states=2390300429385728, size=731)
 >> (progress=93.46%%, states=2390319756738560, size=746)
 >> (progress=93.46%%, states=2390435720855552, size=746)
 >> (progress=93.46%%, states=2390609667031040, size=745)
 >> (progress=93.46%%, states=2390696640118784, size=791)
 >> (progress=93.46%%, states=2390740126662656, size=797)
 >> (progress=93.46%%, states=2390761869934592, size=781)
 >> (progress=93.46%%, states=2390827099750400, size=773)
 >> (progress=93.46%%, states=2390957559382016, size=743)
 >> (progress=93.48%%, states=2428066076819456, size=747)
 >> (progress=93.50%%, states=2455897464897536, size=743)
 >> (progress=93.50%%, states=2457057106067456, size=778)
 >> (progress=93.50%%, states=2457636926652416, size=781)
 >> (progress=93.50%%, states=2457926836944896, size=772)
 >> (progress=93.50%%, states=2458796567822336, size=764)
 >> (progress=93.50%%, states=2460536029577216, size=737)
 >> (progress=93.50%%, states=2464246881320960, size=771)
 >> (progress=93.50%%, states=2464362845437952, size=773)
 >> (progress=93.50%%, states=2464884683964416, size=753)
 >> (progress=93.55%%, states=2567570909560832, size=690)
 >> (progress=93.55%%, states=2568266694262784, size=700)
 >> (progress=93.55%%, states=2568962478964736, size=658)
 >> (progress=93.55%%, states=2569658263666688, size=698)
 >> (progress=93.55%%, states=2570006156017664, size=704)
 >> (progress=93.55%%, states=2570180102193152, size=690)
 >> (progress=93.55%%, states=2570701940719616, size=682)
 >> (progress=93.55%%, states=2571745617772544, size=649)
 >> (progress=93.55%%, states=2573137187176448, size=726)
 >> (progress=93.55%%, states=2573832971878400, size=661)
 >> (progress=93.55%%, states=2575920325984256, size=655)
 >> (progress=93.55%%, states=2578007680090112, size=647)
 >> (progress=93.56%%, states=2579051357143040, size=647)
 >> (progress=94.23%%, states=4520531999064064, size=780)
 >> (progress=94.26%%, states=4625672798470144, size=786)
 >> (progress=94.27%%, states=4678243198173184, size=768)
 >> (progress=94.31%%, states=4835954397282304, size=752)
 >> (progress=94.39%%, states=5151376795500544, size=687)
 >> (progress=94.39%%, states=5152613746081792, size=795)
 >> (progress=94.39%%, states=5153232221372416, size=711)
 >> (progress=94.39%%, states=5155087647244288, size=688)
 >> (progress=94.39%%, states=5156943073116160, size=674)
 >> (progress=94.39%%, states=5157406929584128, size=660)
 >> (progress=94.39%%, states=5158102714286080, size=646)
 >> Done. (states=5158102714286080, size=646)
Start forward reachability: (states=5158102714286080, size=646)
 >> (progress=94.39%%, states=5161311054856192, size=508)
 >> (progress=94.39%%, states=5171298464432128, size=349)
 >> (progress=94.47%%, states=5525429792276480, size=355)
 >> (progress=94.49%%, states=5613962624237568, size=408)
 >> (progress=94.52%%, states=5728530742640640, size=594)
 >> (progress=94.52%%, states=5737409513783296, size=630)
 >> (progress=94.99%%, states=8486778067484672, size=365)
 >> (progress=95.03%%, states=8817217818853376, size=368)
 >> (progress=95.05%%, states=8968931096133632, size=424)
 >> (progress=95.11%%, states=9365889153499136, size=579)
 >> (progress=95.11%%, states=9401466515095552, size=623)
 >> (progress=95.14%%, states=9665637068570624, size=615)
 >> (progress=95.48%%, states=12769917023551488, size=253)
 >> (progress=95.57%%, states=13730563768713216, size=247)
 >> (progress=95.57%%, states=13765198384988160, size=249)
 >> (progress=95.57%%, states=13773857039056896, size=248)
 >> (progress=95.57%%, states=13782515693125632, size=240)
 >> (progress=95.57%%, states=13789628158967808, size=233)
 >> (progress=95.59%%, states=13982592449642496, size=225)
 >> (progress=95.59%%, states=14051861682192384, size=225)
 >> (progress=95.60%%, states=14069178990329856, size=225)
 >> (progress=95.60%%, states=14093608764309504, size=197)
 >> (progress=95.60%%, states=14118966251225088, size=181)
 >> (progress=95.60%%, states=14125563320991744, size=183)
 >> (progress=95.60%%, states=14127212588433408, size=182)
 >> (progress=95.60%%, states=14128861855875072, size=158)
 >> (progress=95.60%%, states=14130098806456320, size=138)
 >> (progress=96.39%%, states=27185699874668544, size=187)
 >> (progress=96.42%%, states=27819018572267520, size=189)
 >> (progress=96.42%%, states=27977348246667264, size=180)
 >> (progress=96.43%%, states=28056513083867136, size=160)
 >> (progress=96.43%%, states=28244529572216830, size=138)
 >> (progress=96.44%%, states=28260197612912640, size=130)
 >> (progress=96.49%%, states=29552604811886590, size=65)
 >> (progress=96.49%%, states=29574251447058430, size=71)
 >> (progress=96.49%%, states=29588167141097470, size=96)
 >> (progress=96.49%%, states=29588940235210750, size=104)
 >> (progress=96.49%%, states=29591839338135550, size=113)
 >> (progress=96.49%%, states=29592805705777150, size=56)
 >> (progress=96.49%%, states=29595898082230270, size=61)
 >> (progress=96.49%%, states=29597444270456830, size=62)
 >> (progress=96.49%%, states=29599918171619330, size=69)
 >> (progress=96.49%%, states=29600227409264640, size=70)
 >> (progress=96.49%%, states=29600382028087296, size=66)
 >> (progress=96.49%%, states=29602894583955456, size=95)
 >> (progress=96.49%%, states=29603203821600770, size=80)
 >> (progress=96.49%%, states=29603232812630016, size=100)
 >> (progress=96.49%%, states=29603261803659264, size=81)
 >> (progress=96.49%%, states=29603300458364930, size=80)
 >> (progress=96.49%%, states=29603319785717760, size=60)
 >> (progress=96.50%%, states=29800922641072130, size=73)
 >> (progress=96.51%%, states=29973825139507200, size=95)
 >> (progress=96.51%%, states=29986175317966850, size=99)
 >> (progress=97.19%%, states=52785648431529980, size=110)
 >> (progress=97.27%%, states=56585560617123840, size=111)
 >> (progress=97.29%%, states=57535538663522300, size=113)
 >> (progress=97.30%%, states=58010527686721540, size=127)
 >> (progress=97.32%%, states=59138626616819710, size=140)
 >> (progress=97.33%%, states=59232634860994560, size=138)
 >> (progress=97.33%%, states=59538780129853440, size=125)
